# Artifact exclusion list for virome pipeline
# Format: taxon_id <tab> taxon_name <tab> reason
# Lines starting with # are comments.
# Add entries here for taxa that are consistently artifactual across samples.
# This list is versioned with the pipeline — document your reasoning.
#
# Categories:
#   reagent       — contaminant introduced by sequencing kit or library prep
#   misclass      — host or common environmental reads misclassified as viral
#   ruminant_bug  — veterinary/agricultural virus with no plausible human tissue origin
#   insect_virus  — insect-specific virus, likely reagent or environmental
#   phage         — bacteriophage with no relevance to mammalian tissue virome
#   env_virus     — environmental/metagenome-derived virus, no vertebrate host range; DRG-specific k-mer cross-mapping from tissue-specific transcripts
#   avian_virus   — bird-specific virus; cross-mapping from human herpesvirus reads to conserved herpesvirus k-mers
#   giant_virus   — giant DNA virus infecting amoeba; eukaryotic HGT gene content causes k-mer cross-mapping with human sequences
#
# NOTE on taxonomy reclassification: ICTV taxonomy updates periodically assign new taxon IDs to previously
# classified species. When adding entries, check whether the old taxon ID has been superseded. Example:
# Ralstonia phage p12J (247080) was reclassified as Porrectionivirus p12J (2956327) — both are listed here.
#
taxon_id	taxon_name	reason
159150	Shamonda virus	ruminant_bug: orthobunyavirus of ruminants, dominant false positive in human RNA-seq
3052441	Orthobunyavirus simbuense	ruminant_bug: same Peribunyaviridae family as Shamonda, co-occurs consistently
3052437	Orthobunyavirus schmallenbergense	ruminant_bug: Schmallenberg virus, ruminant orthobunyavirus, top false positive in muscle tissue cohort
56947	Choristoneura fumiferana granulovirus	insect_virus: baculovirus, common Illumina kit reagent contaminant
67082	BeAn 58058 virus	misclass: unclassified rodent virus, likely host reads misassigned at low confidence
247080	Ralstonia phage p12J	phage: plant pathogen bacteriophage, no relevance to human tissue
2956327	Porrectionivirus p12J	phage: ICTV reclassification of Ralstonia phage p12J (247080) under new genus; same entity, new taxon ID
1815968	Salmonella phage SJ46	phage: enteric bacteriophage, no relevance to human tissue
3060432	Oceanusvirus kaneohense	phage: marine bacteriophage, no biological relevance to human tissue; noise-floor k-mer matches
2083300	Bracoviriform facetosae	insect_virus: parasitoid wasp-associated virus, reagent contaminant
3051997	Betabaculovirus chofumiferanae	insect_virus: baculovirus, present in all muscle and DRG samples at high RPM, confirmed reagent contaminant
2844652	Gihfavirus pelohabitans	env_virus: soil/sediment metagenome virus, no vertebrate host; DRG-exclusive pattern is k-mer cross-mapping from DRG-specific transcripts (confirmed in 5-muscle/6-DRG cohort: 0/5 muscle, 6/6 DRG, reads scale with library size)
2845070	Kinglevirus lutadaptatum	env_virus: environmental metagenome virus, no vertebrate host; same DRG-specific k-mer cross-mapping pattern as Gihfavirus pelohabitans
3050267	Mardivirus columbidalpha1	avian_virus: pigeon/columbid alphaherpesvirus, no human tropism; cross-mapping from human herpesvirus reads to conserved herpesvirus k-mers
2107708	Pandoravirus neocaledonia	giant_virus: Acanthamoeba-infecting giant virus (~2.5 Mb genome); eukaryotic HGT gene content causes sporadic k-mer cross-mapping with human transcripts
10847	Sinsheimervirus phiX174	reagent: Illumina sequencing spike-in control; presence is a direct marker of library failure or contamination
693629	Betafusellovirus yellowstonense	env_virus: archaeal virus infecting Sulfolobus in geothermal environments; no human relevance; high RPM in Saad_2 failed library
2734195	Colossusvirus PW	phage: Paenibacillus (soil bacterium) phage; environmental contaminant; sporadic low-level k-mer matches
2844665	Ruthyvirus dumpsterdude	env_virus: environmental metagenome phage; Saad_2 failed library only
1982229	Steinhofvirus JWX	phage: environmental siphovirus; Saad_2 failed library only
2955603	Chalconvirus acg2014i	env_virus: insect-associated phage from caterpillar metagenomics (Costa Rica); Saad_2 failed library only
